NUMBER FLUX_APER FLUXERR_APER
901 5011 128
902 5355 129
903 5197 129
904 5171 129
905 5239 129
906 5328 129
907 5005 128
908 5273 129
909 5255 129
910 5250 129
911 5063 129
912 5186 129
913 5440 129
914 5250 129
915 5210 129
916 5325 129
917 5351 129
918 5099 129
919 5369 129
920 5108 129
921 5044 128
922 5241 129
923 5411 129
924 5230 129
925 5269 129
926 5381 129
927 5095 129
928 5365 129
929 5504 129
930 5328 129
931 5375 129
932 5277 129
933 5293 129
934 5343 129
935 5437 129
936 5087 129
937 5200 129
938 5241 129
939 5475 129
940 5484 130
941 5220 129
942 5218 129
943 5432 129
944 4999 129
945 5295 129
946 5210 129
947 5088 129
948 5167 129
949 5140 129
950 5499 129
951 5367 130
952 5367 129
953 5156 129
954 5163 129
955 5246 130
956 5114 129
957 5424 129
958 5125 129
959 5281 129
960 5201 129
961 5204 129
962 5258 129
963 5407 130
964 5245 129
965 5101 129
966 5135 129
967 5424 129
968 5312 129
969 5168 129
970 5064 129
971 5119 129
972 5393 129
973 5117 129
974 4842 128
975 5227 129
976 5301 129
977 5388 130
978 5381 129
979 5275 129
980 5049 129
981 4840 129
982 5220 130
983 5150 129
984 5379 130
985 5240 129
986 5143 129
987 5266 129
988 5316 129
989 5090 129
990 5229 130
991 5199 129
992 5284 130
993 5237 129
994 5197 129
995 5196 129
996 5225 129
997 5048 128
998 5262 129
999 5148 129
1000 5255 129
1001 5305 129
1002 5432 129
1003 5234 129
1004 5399 129
1005 5122 129
1006 5412 129
1007 5461 129
1008 5173 128
1009 5215 129
1010 5158 129
1011 5277 129
1012 5351 129
1013 5225 129
1014 5067 129
1015 5255 129
1016 5261 129
1017 5191 129
1018 5205 129
1019 5119 129
1020 5142 129
1021 5284 129
1022 5078 129
1023 5101 129
1024 5405 129
1025 5155 129
1026 5175 129
1027 5211 129
1028 5156 129
1029 5077 129
1030 5275 129
1031 5223 129
1032 5367 129
1033 5210 129
1034 4990 128
1035 5192 129
1036 5330 129
1037 5053 128
1038 5241 129
1039 5092 129
1040 5236 129
1041 5117 128
1042 5339 129
1043 5151 129
1044 5328 129
1045 5432 129
1046 5173 129
1047 5344 129
1048 5299 129
1049 5462 129
1050 5337 129
1051 4939 128
1052 5005 128
1053 5330 129
1054 5273 129
1055 5316 129
1056 5354 129
1057 5139 129
1058 5138 129
1059 5310 129
1060 5128 129
1061 5219 129
1062 5161 129
1063 5178 129
1064 5161 129
1065 5400 129
1066 5173 129
1067 4998 129
1068 5444 129
1069 5292 129
1070 5228 129
1071 5348 129
1072 4925 129
1073 5193 128
1074 5143 129
1075 5225 129
1076 5119 129
1077 5061 128
1078 5344 128
1079 5224 128
1080 5478 129
1081 5307 129
1082 5208 128
1083 5133 128
1084 5248 129
1085 5273 129
1086 5376 129
1087 5593 130
1088 5427 129
1089 5326 129
1090 5344 129
1091 5251 129
1092 5189 129
1093 5216 129
1094 5504 130
1095 5453 130
1096 5371 129
1097 5115 129
1098 5273 130
1099 5217 129
1100 5442 130
1101 5117 129
1102 5258 129
1103 5115 129
1104 5100 129
1105 5294 130
1106 5009 129
1107 5148 129
1108 5109 129
1109 5224 129
1110 5242 130
1111 5130 129
1112 5324 130
1113 5180 129
1114 5001 129
1115 5287 130
1116 5191 129
1117 5124 129
1118 5272 129
1119 5394 129
1120 5313 129
1121 5294 129
1122 5427 129
1123 5051 129
1124 5370 129
1125 5310 129
1126 5125 129
1127 5391 129
1128 5094 129
1129 5241 129
1130 5346 130
1131 5203 129
1132 5310 130
1133 5244 129
1134 5089 129
1135 5299 129
1136 5166 129
1137 5020 129
1138 5397 130
1139 5103 129
1140 5302 129
1141 5392 130
1142 5284 129
1143 5236 129
1144 5313 129
1145 5336 130
1146 5219 129
1147 5311 129
1148 5332 130
1149 5118 129
1150 5361 129
1151 5340 129
1152 5332 129
1153 5265 130
1154 5194 129
1155 5166 129
1156 5296 129
1157 5255 129
1158 5234 129
1159 5210 129
1160 5137 129
1161 5348 129
1162 5074 129
1163 5162 129
1164 5038 129
1165 5254 129
1166 5218 129
1167 5204 129
1168 5196 129
1169 4987 129
1170 5281 129
1171 5291 129
1172 5133 129
1173 5419 130
1174 5185 129
1175 5165 129
1176 5371 129
1177 5087 128
1178 5257 130
1179 5220 129
1180 5082 129
1181 4970 128
1182 5136 129
1183 5317 129
1184 5314 130
1185 5294 129
1186 5062 129
1187 5232 129
1188 5216 129
1189 4961 128
1190 5510 130
1191 5474 130
1192 5271 130
1193 5082 129
1194 5238 129
1195 5053 129
1196 5322 129
1197 5085 129
1198 5147 129
1199 5192 129
1200 5309 129
1201 5112 129
1202 5409 129
1203 4976 129
1204 5206 129
1205 5329 129
1206 5316 129
1207 5352 129
1208 5106 129
1209 5116 129
1210 5342 129
1211 5189 129
1212 5215 129
1213 5009 128
1214 5353 129
1215 5134 129
1216 5128 129
1217 5192 129
1218 5237 129
1219 5220 129
1220 5138 129
1221 5249 129
1222 5184 129
1223 5094 129
1224 4995 129
1225 5334 129
1226 5254 129
1227 5029 129
1228 5210 129
1229 5127 129
1230 5437 130
1231 5088 129
1232 5279 129
1233 5052 129
1234 5260 129
1235 5089 129
1236 5277 129
1237 5086 129
1238 5183 129
1239 5475 130
1240 5199 129
1241 5055 129
1242 5009 129
1243 5117 129
1244 5046 129
1245 5297 129
1246 5091 129
1247 5370 130
1248 5220 129
1249 5249 129
1250 5227 129
1251 5117 129
1252 5179 129
1253 5062 129
1254 5238 129
1255 5319 129
1256 5250 129
1257 5131 129
1258 5317 129
1259 5409 130
1260 5157 130
1261 5363 129
1262 5034 129
1263 5142 129
1264 5250 129
1265 5074 129
1266 5289 130
1267 5289 130
1268 4993 129
1269 5231 129
1270 4902 129
1271 5330 129
1272 5134 129
1273 5019 129
1274 4987 129
1275 4997 129
1276 5186 129
1277 5122 129
1278 4984 129
1279 5099 129
1280 5234 129
1281 5233 129
1282 4978 129
1283 5254 129
1284 5371 130
1285 4995 129
1286 4964 129
1287 5127 129
1288 5129 129
1289 5095 129
1290 4963 128
1291 5030 129
1292 5114 129
1293 4982 128
1294 5212 129
1295 5227 129
1296 4845 128
1297 5202 129
1298 5135 129
1299 5097 129
1300 5120 129
1301 5062 129
1302 5087 129
1303 4994 129
1304 5244 129
1305 5079 129
1306 5008 129
1307 5146 129
1308 5433 130
1309 5173 129
1310 5013 129
1311 5260 129
