NUMBER FLUX_APER FLUXERR_APER
901 181802 320
902 179717 318
903 183040 320
904 182434 320
905 182047 320
906 183392 321
907 180921 319
908 180256 318
909 182163 320
910 180613 319
911 182120 320
912 182616 320
913 178240 317
914 182167 320
915 181540 319
916 179997 318
917 183612 321
918 180397 319
919 184125 321
920 183560 321
921 182049 320
922 180264 319
923 182160 320
924 179411 318
925 180615 319
926 180958 319
927 183006 321
928 183500 321
929 181247 319
930 181987 320
931 182965 320
932 183003 321
933 180118 318
934 180346 318
935 180338 319
936 181373 319
937 184734 322
938 183733 321
939 182847 320
940 183530 321
941 181198 319
942 181121 319
943 181357 319
944 180416 319
945 180909 319
946 182075 320
947 182300 320
948 182755 320
949 181577 319
950 180080 318
951 180340 319
952 181659 320
953 179490 318
954 182205 320
955 181925 320
956 182469 320
957 179050 318
958 182116 320
959 181068 319
960 183192 321
961 182700 320
962 181273 319
963 183378 321
964 181295 319
965 181774 320
966 182425 320
967 180450 319
968 183469 321
969 180065 318
970 180904 319
971 179882 318
972 183058 321
973 180754 319
974 181477 319
975 179940 318
976 182072 320
977 183442 321
978 180248 319
979 179726 318
980 182860 320
981 183025 321
982 182439 320
983 182398 320
984 183486 321
985 182934 321
986 181289 319
987 181140 319
988 182490 320
989 179344 318
990 180247 319
991 182143 320
992 180030 318
993 181316 319
994 184511 322
995 180188 318
996 181732 320
997 181063 319
998 179142 318
999 180481 319
1000 179852 318
1001 181292 319
1002 181957 320
1003 181349 319
1004 180409 319
1005 181987 320
1006 180913 319
1007 181454 319
1008 181758 319
1009 180767 319
1010 182620 320
1011 180139 318
1012 181661 319
1013 183169 321
1014 179487 318
1015 182493 320
1016 180867 319
1017 179609 318
1018 180307 318
1019 181285 319
1020 183174 321
1021 181054 319
1022 180686 319
1023 181153 319
1024 181136 319
1025 179926 318
1026 180459 319
1027 180451 319
1028 181275 319
1029 182167 320
1030 183769 321
1031 180701 319
1032 181102 319
1033 182849 320
1034 181247 319
1035 183675 321
1036 180053 318
1037 184169 321
1038 180118 318
1039 180566 319
1040 180739 319
1041 181492 319
1042 181763 320
1043 182232 320
1044 181209 319
1045 180601 319
1046 179616 318
1047 180906 319
1048 180915 319
1049 182098 320
1050 182793 320
1051 181917 320
1052 180425 318
1053 181150 319
1054 182487 320
1055 182482 320
1056 181468 319
1057 181349 319
1058 180290 318
1059 181259 319
1060 182113 320
1061 180785 319
1062 179629 318
1063 182570 320
1064 181963 320
1065 181153 319
1066 181643 320
1067 179635 318
1068 182403 320
1069 179489 318
1070 180819 319
1071 182619 320
1072 182689 320
1073 179493 318
1074 179418 318
1075 183484 321
1076 180405 319
1077 177874 316
1078 178534 317
1079 184212 321
1080 180219 318
1081 177604 316
1082 182296 320
1083 181776 319
1084 182533 320
1085 181771 319
1086 180325 318
1087 180634 319
1088 182579 320
1089 180441 319
1090 179991 318
1091 180890 319
1092 182039 320
1093 179756 318
1094 182487 320
1095 178120 317
1096 179123 318
1097 178987 318
1098 178099 317
1099 181488 320
1100 180789 319
1101 180825 319
1102 180953 319
1103 180606 319
1104 178622 317
1105 180978 319
1106 179409 318
1107 177641 317
1108 177515 316
1109 178774 317
1110 180133 319
1111 180017 318
1112 178664 317
1113 175739 315
1114 179114 318
1115 181010 319
1116 181624 320
1117 177560 317
1118 179095 317
1119 181426 319
1120 178012 317
1121 180704 319
1122 177818 317
1123 181375 319
1124 181414 319
1125 178793 317
1126 179142 318
1127 179283 318
1128 181429 319
1129 177903 317
1130 177094 316
1131 176826 316
1132 174892 315
1133 181788 320
1134 179280 318
1135 175267 315
1136 180879 319
1137 176486 316
1138 177009 316
1139 178117 317
1140 180224 318
1141 181669 320
1142 178151 317
1143 177539 316
1144 174163 314
1145 176888 316
1146 179856 318
1147 176630 316
1148 180458 319
1149 179983 318
1150 179182 318
1151 179467 318
1152 179066 318
1153 176672 316
1154 181675 319
1155 178990 317
1156 179678 318
1157 177097 316
1158 178623 317
1159 178812 317
1160 178085 317
1161 178109 317
1162 181423 319
1163 180751 319
1164 177804 317
1165 176033 315
1166 178257 317
1167 178004 317
1168 177650 317
1169 180258 319
1170 180081 318
1171 178546 317
1172 179971 318
1173 179996 318
1174 178066 317
1175 177171 316
1176 176971 316
1177 177674 316
1178 177801 317
1179 178480 317
1180 177840 317
1181 177515 316
1182 181381 319
1183 176316 315
1184 177978 317
1185 179535 318
1186 176016 315
1187 177948 317
1188 176115 315
1189 178858 317
1190 176477 316
1191 179771 318
1192 178111 317
1193 177745 317
1194 178525 317
1195 179557 318
1196 177093 316
1197 178263 317
1198 179286 318
1199 179101 318
1200 177418 316
1201 177913 317
1202 177002 316
1203 176754 316
1204 177818 317
1205 179355 318
1206 177544 316
1207 176053 315
1208 179851 318
1209 178079 317
1210 177564 316
1211 178172 317
1212 177245 316
1213 178440 317
1214 175426 315
1215 175498 315
1216 177339 316
1217 179894 318
1218 178733 317
1219 177367 316
1220 181087 319
1221 177928 317
1222 175146 315
1223 177742 317
1224 178729 317
1225 177942 317
1226 177436 316
1227 176651 316
1228 175554 315
1229 176936 316
1230 177940 317
1231 177961 317
1232 176913 316
1233 177131 316
1234 178696 317
1235 178292 317
1236 176601 316
1237 178262 317
1238 179461 318
1239 180123 318
1240 177825 317
1241 177774 317
1242 178139 317
1243 177670 317
1244 176793 316
1245 179995 318
1246 180053 318
1247 178117 317
1248 179712 318
1249 176191 315
1250 177703 317
1251 176463 316
1252 177553 317
1253 176003 315
1254 176489 316
1255 177543 316
1256 176602 316
