#NUMBER FLUX_APER FLUXERR_APER
0 30382 174
1 30382 174
2 29957 173
3 29827 173
4 30094 174
5 29899 173
6 29773 173
7 30408 174
8 30034 174
9 29998 174
10 29848 173
11 29820 173
12 30211 174
13 30000 173
14 30578 174
15 30240 174
16 30151 174
17 30412 174
18 29993 173
19 29833 173
20 30615 174
21 29836 173
22 30485 174
23 30123 173
24 29724 173
25 30064 175
26 29960 175
27 29988 175
28 29868 174
29 30169 174
30 30009 174
31 30063 174
32 30292 175
33 30272 175
34 30223 174
35 30054 174
36 30056 174
37 30139 174
38 30124 174
39 30160 174
40 30052 175
41 30478 176
42 30058 175
43 30144 175
44 30109 174
45 29868 175
46 29876 174
47 29893 173
48 29992 174
49 30222 174
50 30287 175
51 30336 175
52 30160 175
53 29774 174
54 30177 174
55 29988 173
56 30145 174
57 30416 174
58 30162 174
59 30205 174
60 30590 174
61 30088 173
62 29806 173
63 29947 173
64 30066 173
65 30126 174
66 29957 173
67 29986 174
68 29945 173
69 30407 174
70 30335 174
71 29843 173
72 30180 174
73 30240 174
74 30196 174
75 30105 174
76 30095 173
77 29721 173
78 30095 173
79 30288 174
80 30086 173
81 30232 174
82 29917 174
83 29980 174
84 30131 174
85 30257 174
86 29805 173
87 29976 173
88 30337 174
89 30054 173
90 30275 174
91 29800 173
92 30326 174
93 30456 174
94 30222 174
95 30101 174
96 30496 174
97 30027 173
98 30143 174
99 30174 174
100 30095 174
101 30448 174
102 30461 174
103 29900 173
104 30072 173
105 29862 173
106 30015 173
107 30032 173
108 29945 173
109 29606 173
110 30228 174
111 30030 174
112 30102 174
113 30373 174
114 29952 174
115 29704 173
116 30056 173
117 30365 174
118 30513 174
119 30089 174
120 30412 174
121 30112 174
122 29926 173
123 30450 174
124 30105 174
125 29945 173
126 29991 173
127 30291 174
128 30122 174
129 30364 174
130 30351 174
131 30004 173
132 30572 174
133 30399 174
134 29993 173
135 30004 173
136 29532 173
137 29997 173
138 30546 174
139 29876 173
140 30647 174
141 30531 174
142 29790 173
143 30059 173
144 30086 173
145 29843 173
146 29945 173
147 30080 173
148 29507 172
149 29995 173
150 30339 174
151 30559 174
152 29881 173
153 29907 173
154 30325 174
155 29949 173
156 29898 173
157 30235 174
158 30305 174
159 29957 173
160 29875 174
161 29935 173
162 30053 174
163 29787 173
164 30214 174
165 29993 173
166 29994 173
167 29896 173
168 30080 173
169 30028 173
170 30560 174
171 30249 174
172 29820 173
173 30030 173
174 29875 173
175 30095 174
176 30205 174
177 30149 174
178 29927 173
179 30079 173
180 30246 174
181 30297 174
182 30430 174
183 30152 173
184 30153 174
185 30041 173
186 30012 173
187 30179 174
188 29929 173
189 30150 173
190 29871 173
191 30001 173
192 29911 173
193 30110 173
194 30129 174
195 30221 174
196 30255 173
197 29722 173
198 29769 173
199 29987 173
200 30553 174
201 30374 174
202 29907 173
203 29643 173
204 30363 173
205 29839 173
206 29890 173
207 29963 173
208 30490 174
209 30160 174
210 29988 173
211 29232 172
212 29858 173
213 30185 174
214 29832 173
215 29816 173
216 30140 174
217 30477 174
218 29503 173
219 30310 174
220 30042 174
221 30441 174
222 30265 173
223 30137 174
224 29767 173
225 30111 173
226 29973 174
227 30314 174
228 30108 173
229 30023 173
230 29796 173
231 30212 173
232 30215 174
233 30074 173
234 30205 173
235 30069 173
236 29951 173
237 30148 173
238 30156 173
239 30001 173
240 29927 173
241 30344 174
242 30276 174
243 29649 173
244 29866 173
245 30271 173
246 30407 174
247 29745 173
248 29955 173
249 30249 173
250 29825 173
251 29916 173
252 29624 173
253 30116 173
254 29766 173
255 29974 173
256 30297 174
257 29948 173
258 29857 173
259 30268 173
260 30385 174
261 29569 173
262 30282 174
263 30018 173
264 29775 173
265 30320 174
266 30100 173
267 29830 173
268 29731 173
269 30168 173
270 29803 173
271 29922 173
272 29493 173
273 29987 173
274 29986 173
275 29811 173
276 30178 173
277 29895 173
278 30110 173
279 30279 174
280 29565 173
281 30251 173
282 29789 173
283 29840 173
284 29836 173
285 30212 174
286 29482 173
287 30067 173
288 29798 173
289 29911 173
290 29731 173
291 30342 174
292 29814 173
293 30160 174
294 29625 173
295 29889 173
296 29850 173
297 30000 173
298 29903 173
299 30084 173
300 29906 173
301 30072 173
302 29944 174
303 30126 173
304 29876 173
305 29992 173
306 30090 173
307 29977 173
308 29886 173
309 29755 173
310 30137 174
311 29888 173
312 30496 174
313 29777 173
314 30226 174
315 30062 173
316 30459 174
317 30338 174
318 30070 173
319 29990 173
320 29900 173
321 29945 173
322 30120 174
323 29633 173
324 29885 173
325 29899 173
326 30135 173
327 29773 173
328 29872 173
329 30043 173
330 29963 173
331 30088 173
332 30028 173
333 29972 173
334 29751 173
335 30223 173
336 29995 173
337 30313 174
338 29621 173
339 30569 174
340 29818 173
341 29807 173
342 29973 173
343 30014 173
344 29770 173
345 29820 173
346 29900 173
347 29684 173
348 30306 174
349 29919 173
350 30174 173
351 29929 173
352 30217 174
353 30230 173
354 30184 174
355 29823 173
356 29672 173
357 29913 173
358 30049 173
359 30429 174
360 29810 173
361 29639 173
362 30621 174
363 29862 173
364 29974 173
365 30068 174
366 29763 173
367 30289 174
368 29911 173
369 30324 174
370 29904 173
371 29898 173
372 30109 173
373 29794 173
374 29798 173
375 29973 173
376 29844 173
377 30465 174
378 29563 173
379 30233 174
380 29468 173
381 30165 173
382 29786 173
383 30124 174
384 29876 173
385 29995 173
386 30043 173
387 30058 173
388 30072 173
389 30052 173
390 29920 173
391 29831 173
392 29674 173
393 30044 173
394 30159 174
395 30126 174
396 30572 174
397 30256 174
398 30249 174
399 29695 173
400 30187 174
401 29806 173
402 30135 174
403 29720 173
404 30010 173
405 29869 173
406 29901 173
407 30209 174
408 29921 173
409 30543 174
410 30125 174
411 30220 174
412 29765 173
413 30056 173
414 30049 173
415 29917 173
416 29716 173
417 30038 173
418 29641 173
419 29761 173
420 30059 173
421 29695 173
422 30224 174
423 30139 174
424 30030 173
425 29992 173
426 2101 105
427 26681 168
428 22642 163
429 30150 173
430 29882 173
431 29577 172
432 29834 173
433 29784 173
434 29910 173
435 29884 173
436 29679 173
437 30007 173
438 29596 173
439 29877 173
440 30143 174
441 30318 174
442 29897 173
443 29927 173
444 30175 174
445 30063 173
446 30008 173
447 29938 173
448 30205 173
